"","Country","Compartment","RQ_min","RQ_Q5","RQ_median","RQ_mean","RQ_Q95","RQ_max"
"5%87","Sweden","Freshwater",1.45588819631585e-08,2.75239905874453e-08,5.00884991117573e-08,8.20999812155798e-08,2.722038438928e-07,5.08946222725401e-07
"5%88","Sweden","Sediment",0.000215240070501606,0.000389152665337108,0.000658814587124421,0.00108739266406309,0.00352194214278836,0.00592951734042058
"5%89","Sweden","Soil",0.00250994586238743,0.00495563295981902,0.00882582943086434,0.00844193121357048,0.0102156267878027,0.0129845406011715
"5%90","Switzerland","Freshwater",1.50257558768746e-07,3.22744501561164e-07,6.92903560420397e-07,1.34462347717134e-06,5.08212580469345e-06,9.59309899971757e-06
"5%91","Switzerland","Sediment",0.00247951017016712,0.00452632484963957,0.00921097507275338,0.0177937291790863,0.0658400571730538,0.111264551299007
"5%92","Switzerland","Soil",Inf,Inf,Inf,Inf,Inf,Inf
"5%93","United Kingdom","Freshwater",8.79934469515618e-07,2.03841852543493e-06,4.87981856130942e-06,1.01299921139674e-05,4.01036218209001e-05,7.72696162008341e-05
"5%94","United Kingdom","Sediment",0.0133317387091516,0.0284349722558392,0.0653271030587642,0.133978209781983,0.517751877551664,0.883218875699546
"5%95","United Kingdom","Soil",0.00461520061615226,0.0101988143894452,0.0181639698253681,0.017462725504944,0.0215158309576688,0.0268594338019353
"5%96","USA","Freshwater",7.85968243816843e-08,1.69326002249992e-07,3.16628116255368e-07,4.42502383098132e-07,1.26443782215733e-06,2.64524797485079e-06
"5%97","USA","Sediment",0.00140280605943856,0.00240442562961806,0.00386991610816863,0.00548461085740032,0.0153302751882725,0.026356940228454
"5%98","USA","Soil",0.00213276796370571,0.00639322384589325,0.0117491723257066,0.0115258458655319,0.0155919595374831,0.0218008506440982
"5%99","Vietnam","Freshwater",3.80878373351041e-06,7.53032911926552e-06,1.23910609013381e-05,1.26977724864907e-05,1.89147923603005e-05,3.1360033532388e-05
"5%100","Vietnam","Sediment",0.1222748365075,0.199471627597541,0.278641258639193,0.283617089696998,0.384282394747578,0.602105916140995
"5%101","Vietnam","Soil",0.0499666934730774,0.171442373201117,0.370452080368393,0.391267773339766,0.681448201839995,1.55463857081247
